PRODUK_CODE,NAMA_PRODUK,BOM_CODE,MATERIAL_NAME,PERCENTAGE,QTY,SATUAN,STANDARD_COST,WASTE,TOTAL_BIAYA
3010101001.0,MR FN 35-25 D 65%P/15%ES/20%BC 158 CM,1010200002.0,POLYESTER  1.5DX38MM,0.65,0.65,KG,18700,0.1,13505.555555555555
3010102001.0,MR FN 35-25 D 85%P/15%ES 158 CM,1010200002.0,POLYESTER  1.5DX38MM,0.85,0.85,KG,18700,0.1,17661.11111111111
3010201001.0,MR FN 35-76 H 100%P 150 CM (DWA 138 CM),1010200002.0,POLYESTER  1.5DX38MM,1.0,1.0,KG,18700,0.1,20777.777777777777
3010201002.0,MR FN 35-76 H 100%P 165 CM (DWA 147 CM),1010200002.0,POLYESTER  1.5DX38MM,1.0,1.0,KG,18700,0.1,20777.777777777777
3010301001.0,MR FN 40-25 D 95%P/5%ES 147 CM,1010200002.0,POLYESTER  1.5DX38MM,0.95,0.95,KG,18700,0.1,19738.888888888887
3010302001.0,MR FN 40-25 D 50%R/50%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010302002.0,MR FN 40-25 D 50%R/50%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010401001.0,MR FN 40-76 H 50%R/50%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010401002.0,MR FN 40-76 H 50%R/50%P 156 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010401003.0,MR FN 40-76 H 50%R/50%P 158 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010401004.0,MR FN 40-76 H 50%R/50%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010402001.0,MR FN 40-76 H 30%R/70%P 152 CM (WKN),1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.3,0.3,KG,29000,0.1,9666.666666666666
3010402002.0,MR FN 40-76 H 30%R/70%P 158 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.3,0.3,KG,29000,0.1,9666.666666666666
3010402003.0,MR FN 40-76 H 30%R/70%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.3,0.3,KG,29000,0.1,9666.666666666666
3010403001.0,MR FN 40-76 H 20%R/80%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.2,0.2,KG,29000,0.1,6444.444444444444
3010403002.0,MR FN 40-76 H 20%R/80%P 156 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.2,0.2,KG,29000,0.1,6444.444444444444
3010403003.0,MR FN 40-76 H 20%R/80%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.2,0.2,KG,29000,0.1,6444.444444444444
3010404001.0,MR FN 40-76 H 100%R 165 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,1.0,1.0,KG,29000,0.1,32222.222222222223
3010404002.0,MR FN 40-76 H 100%R 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,1.0,1.0,KG,29000,0.1,32222.222222222223
3010404003.0,MR FN 40-76 H 100%R 147 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,1.0,1.0,KG,29000,0.1,32222.222222222223
3011801001.0,MR FN 42-76 H 100%R 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,1.0,1.0,KG,29000,0.1,32222.222222222223
3010603001.0,MR FN 45-76 H 20%R/80%P 147 CM IDM AW,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.2,0.2,KG,29000,0.1,6444.444444444444
3010603002.0,MR FN 45-76 H 20%R/80%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.2,0.2,KG,29000,0.1,6444.444444444444
3010603003.0,MR FN 45-76 H 20%R/80%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.2,0.2,KG,29000,0.1,6444.444444444444
3010501001.0,MR FN 45-25 D 70%R/20%P/10%BC 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.7,0.7,KG,29000,0.1,22555.555555555555
3010502001.0,MR FN 45-25 D 50%R/50%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010503001.0,MR FN 45-25 D 70%R/30%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.7,0.7,KG,29000,0.1,22555.555555555555
3010503002.0,MR FN 45-25 D 70%R/30%P 158 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.7,0.7,KG,29000,0.1,22555.555555555555
3010504001.0,MR FN 45-25 D 80%R/20%P 150 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.8,0.8,KG,29000,0.1,25777.777777777777
3010601001.0,MR FN 45-76 H 30%R/70%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.7,0.7,KG,29000,0.1,22555.555555555555
3010602001.0,MR FN 45-76 H 50%R/50%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010602002.0,MR FN 45-76 H 50%R/50%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010604001.0,MR FN 45-76 H 100%R 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,1.0,1.0,KG,29000,0.1,32222.222222222223
3010701001.0,MR FN 50-76 H 50%R/50%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010701002.0,MR FN 50-76 H 50%R/50%P 158 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010701003.0,MR FN 50-76 H 50%R/50%P 160 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010702001.0,MR FN 50-76 H 30%R/70%P 152 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.3,0.3,KG,29000,0.1,9666.666666666666
3010801001.0,MR FN 53-25 D 50%R/40%P/10%ES 158 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010901001.0,MR FN 65-25 D 50%R/42.5%P/7.5%ES 165 CM,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010901002.0,MR FN65-25D 50%R/42.5%P/7.5%ES 165CM NTB,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
3010901003.0,MR FN65-25D 50%R/42.5%P/7.5%ES 165CM NTR,1010100001.0,VISCOSE RAYON Staple Fibre 1.7D X 40 mm,0.5,0.5,KG,29000,0.1,16111.111111111111
